Item Code,Total_Revenue,Sales_Count,First_Sale,Last_Sale,Lifespan_Days,Avg_Revenue_Per_Sale,Sales_Frequency,PLV_Simple,PLV_Category
100009,0.08,2,2020-01-31,2020-07-31,182,0.04,4.013736263736264,0.4816483516483516,High Value
100023,0.0,2,2020-03-31,2020-07-31,122,0.0,5.9877049180327875,0.0,Low Value
100024,1.4100000000000001,3,2020-01-31,2020-07-31,182,0.47000000000000003,6.020604395604395,8.489052197802199,High Value
100080,0.0,1,2020-03-31,2020-03-31,1,0.0,365.25,0.0,Low Value
1001,0.0,3,2020-01-31,2020-07-31,182,0.0,6.020604395604395,0.0,Low Value
100145,0.0,2,2020-01-31,2020-07-31,182,0.0,4.013736263736264,0.0,Low Value
10023,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10024,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10025,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
100293,1.97,3,2020-01-31,2020-07-31,182,0.6566666666666666,6.020604395604395,11.860590659340657,High Value
10040,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10041,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10042,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10044,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10045,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10048,11.86,1,2020-07-31,2020-07-31,1,11.86,365.25,12995.595,Premium Value
10049,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10050,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10051,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10052,16.62,1,2020-07-31,2020-07-31,1,16.62,365.25,18211.364999999998,Premium Value
10054,10.75,1,2020-07-31,2020-07-31,1,10.75,365.25,11779.3125,Premium Value
10055,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10058,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10059,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10060,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10061,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10062,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10064,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
100641,2.76,2,2020-01-31,2020-07-31,182,1.38,4.013736263736264,16.61686813186813,High Value
10066,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10067,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10068,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
10069,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
100714,0.0,1,2020-03-31,2020-03-31,1,0.0,365.25,0.0,Low Value
100749,1.23,3,2020-01-31,2020-07-31,182,0.41,6.020604395604395,7.405343406593405,High Value
10075,0.0,1,2020-09-30,2020-09-30,1,0.0,365.25,0.0,Low Value
10076,0.0,1,2020-07-31,2020-07-31,1,0.0,365.25,0.0,Low Value
